Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2094,2094,1000 persons,651.557000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2095,2095,1000 persons,645.213000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2096,2096,1000 persons,638.957000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2097,2097,1000 persons,632.785000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2098,2098,1000 persons,626.691000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2099,2099,1000 persons,620.668000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2100,2100,1000 persons,614.706000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,1992,1992,1000 persons,994.572000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,1993,1993,1000 persons,986.674000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,1994,1994,1000 persons,981.702000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,1995,1995,1000 persons,981.986000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,1996,1996,1000 persons,985.796000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,1997,1997,1000 persons,990.768000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,1998,1998,1000 persons,994.960000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,1999,1999,1000 persons,1001.957000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2000,2000,1000 persons,1012.170000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2001,2001,1000 persons,1023.037000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2002,2002,1000 persons,1030.556000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2003,2003,1000 persons,1034.147000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2004,2004,1000 persons,1036.814000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2005,2005,1000 persons,1038.520000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2006,2006,1000 persons,1040.073000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,513,Total Population - Female,2007,2007,1000 persons,1041.594000,X,
